Id,FromAddress,ToAddress,Speed,Type,PermitDirection
12602,10001,10002,0,Horizontal,Forward
10101,10002,10003,0,Horizontal,Forward
10201,10003,10004,0,Horizontal,Forward
10202,10004,10005,0,Horizontal,Forward
10203,10005,10006,0,Horizontal,Forward
10301,10006,10007,0,Horizontal,Forward
10302,10007,10008,0,Horizontal,Forward
10401,10008,10009,0,Horizontal,Forward
10402,10009,10010,0,Horizontal,Forward
10501,10010,10011,0,Horizontal,Forward
10502,10011,10012,0,Horizontal,Forward
10601,10012,10014,0,Horizontal,Forward
10602,10014,10015,0,Horizontal,Forward
10701,10015,10016,0,Horizontal,Forward
10702,10016,10017,0,Horizontal,Forward
10801,10017,10018,0,Horizontal,Forward
10802,10018,10019,0,Horizontal,Forward
10901,10019,10021,0,Horizontal,Forward
11001,10021,10022,0,Horizontal,Forward
11002,10022,10023,0,Horizontal,Forward
11003,10250,10023,0,Horizontal,Forward
12801,10002,10056,0,Vertical,Forward
11201,10251,10024,0,Horizontal,Forward
11202,10251,10272,0,Horizontal,Forward
11301,10272,10025,0,Horizontal,Forward
11302,10025,10026,0,Horizontal,Forward
11303,10026,10027,0,Horizontal,Forward
11304,10027,10028,0,Horizontal,Forward
11305,10028,10029,0,Horizontal,Forward
11401,10029,10030,0,Horizontal,Forward
11402,10030,10031,0,Horizontal,Forward
11403,10031,10032,0,Horizontal,Forward
11501,10032,10033,0,Horizontal,Forward
11502,10033,10034,0,Horizontal,Forward
11503,10034,10035,0,Horizontal,Forward
11601,10035,10036,0,Horizontal,Forward
11602,10036,10037,0,Horizontal,Forward
11603,10037,10038,0,Horizontal,Forward
11701,10038,10039,0,Horizontal,Forward
11702,10039,10040,0,Horizontal,Forward
11703,10040,10041,0,Horizontal,Forward
11801,10041,10042,0,Horizontal,Forward
11802,10042,10043,0,Horizontal,Forward
11803,10043,10044,0,Horizontal,Forward
11804,10044,10045,0,Horizontal,Forward
11901,10045,10047,0,Horizontal,Forward
12001,10047,10048,0,Horizontal,Forward
12002,10048,10049,0,Horizontal,Forward
12003,10049,10050,0,Horizontal,Forward
12004,10050,10051,0,Horizontal,Forward
12005,10051,10052,0,Horizontal,Forward
12101,10052,10053,0,Horizontal,Forward
12102,10053,10054,0,Horizontal,Forward
12103,10054,10055,0,Horizontal,Forward
12104,10055,10056,0,Horizontal,Forward
12201,10056,10057,0,Horizontal,Forward
12901,10003,10052,0,Vertical,Forward
13001,10006,10047,0,Vertical,Forward
13101,10008,10045,0,Vertical,Forward
13201,10010,10041,0,Vertical,Forward
13301,10012,10038,0,Vertical,Forward
13401,10015,10035,0,Vertical,Forward
13501,10017,10032,0,Vertical,Forward
13601,10019,10029,0,Vertical,Forward
13701,10021,10272,0,Vertical,Forward
22401,10060,10061,0,Horizontal,Forward
20201,10061,10256,0,Horizontal,Forward
20202,10256,10062,0,Horizontal,Forward
20203,10062,10063,0,Horizontal,Forward
20204,10063,10064,0,Horizontal,Forward
20205,10064,10065,0,Horizontal,Forward
20206,10065,10066,0,Horizontal,Forward
20207,10066,10067,0,Horizontal,Forward
20208,10067,10068,0,Horizontal,Forward
20209,10068,10069,0,Horizontal,Forward
20210,10069,10070,0,Horizontal,Forward
20211,10070,10071,0,Horizontal,Forward
20212,10071,10072,0,Horizontal,Forward
20213,10072,10073,0,Horizontal,Forward
20214,10073,10074,0,Horizontal,Forward
20215,10074,10075,0,Horizontal,Forward
20216,10075,10076,0,Horizontal,Forward
20217,10076,10077,0,Horizontal,Forward
20219,10077,10079,0,Horizontal,Forward
20220,10079,10081,0,Horizontal,Forward
20222,10081,10082,0,Horizontal,Forward
20223,10082,10083,0,Horizontal,Forward
20224,10083,10084,0,Horizontal,Forward
20225,10084,10085,0,Horizontal,Forward
20226,10085,10086,0,Horizontal,Forward
20227,10086,10087,0,Horizontal,Forward
20228,10087,10088,0,Horizontal,Forward
20229,10088,10089,0,Horizontal,Forward
20230,10089,10090,0,Horizontal,Forward
20231,10090,10091,0,Horizontal,Forward
22601,10103,10258,0,Horizontal,Forward
22602,10258,10102,0,Horizontal,Forward
25001,10102,10254,0,Horizontal,Forward
22701,10254,10101,0,Horizontal,Forward
22801,10101,10100,0,Horizontal,Forward
22901,10100,10099,0,Horizontal,Forward
23001,10099,10098,0,Horizontal,Forward
23101,10098,10270,0,Horizontal,Forward
23201,10270,10097,0,Horizontal,Forward
23202,10097,10096,0,Horizontal,Forward
23301,10270,10095,0,Horizontal,Forward
23401,10095,10094,0,Horizontal,Forward
23501,10094,10093,0,Horizontal,Forward
23601,10093,10252,0,Horizontal,Forward
23602,10252,10092,0,Horizontal,Forward
20701,10126,10253,0,Horizontal,Forward
20702,10253,10125,0,Horizontal,Forward
20801,10125,10124,0,Vertical,Forward
20802,10124,10123,0,Horizontal,Forward
20803,10123,10122,0,Horizontal,Forward
20804,10122,10121,0,Horizontal,Forward
20901,10121,10120,0,Horizontal,Forward
20902,10120,10119,0,Horizontal,Forward
21001,10119,10118,0,Horizontal,Forward
21002,10118,10117,0,Horizontal,Forward
21003,10117,10116,0,Horizontal,Forward
21101,10116,10115,0,Horizontal,Forward
